"Processo","Ementa","Autor","Relator","Tramitação","Tramitacao Interna","Dias na Comissão","Dias no Estado Atual"
"PL 58/2024","INSTITUI, NO MUNÍCIPIO DE SÃO PAULO A OBRIGATORIEDADE DE EXIBIÇÃO DE
 VÍDEOS EDUCATIVOS ANTIDROGAS NAS ABERTURAS DE SHOWS, EVENTOS CULTURAIS E
 SIMILARES NO MUNICÍPIO DE SÃO PAULO, DANDO AINDA OUTRAS PROVIDÊNCIAS.","Ver. RICARDO TEIXEIRA (UNIÃO)","Ver. ANDRÉ SANTOS (REPUBLICANOS)","05/09/2025 12:11:00 - FIN  (Recebido de SAUDE)","20/05/2026 11:09 - Secretaria (SGP12) / Em Condição de Pauta","260","3"
"PL 57/2024","INSTITUI NO MUNÍCIPIO DE SÃO PAULO A NECESSIDADE DA DISTRIBUIÇÃO GRATUITA
 DE SUPLEMENTOS VITAMÍNICOS EM PÓ, SEM SABOR, A MAIORES DE 60 ANOS DE
 IDADE, RESIDENTES NO MUNICÍPIO DE SÃO PAULO.","Ver. RICARDO TEIXEIRA (UNIÃO)","Ver. ANDRÉ SANTOS (REPUBLICANOS)","27/03/2025 16:48:00 - FIN  (Recebido de SAUDE)","14/05/2026 04:10 - Relator(a) / Estudo para manifestação do relator","422","9"
"PR 31/2024","CRIA A FRENTE PARLAMENTAR DE COMBATE AO ANTISSEMITISMO E AO ÓDIO CONTRA ISRAEL.","Ver. SONAIRA FERNANDES (PL)","Ver. SILVINHO LEITE (UNIÃO)","08/09/2025 18:29:00 - FIN  (Recebido de ADM)","17/04/2026 10:14 - Consultoria (CTEO.1) / Elaborar Minuta de Relatório","257","36"
"PL 29/2024","INSTITUI A CAMPANHA DE CONSCIENTIZAÇÃO SOBRE A EPIDERMÓLISE BOLHOSA NO MUNICÍPIO DE SÃO PAULO","Ver. SIDNEY CRUZ (MDB)Ver. SANDRA SANTANA (MDB)","Ver. ANA CAROLINA OLIVEIRA (PODE)","15/08/2025 11:34:00 - FIN  (Recebido de SAUDE)","16/04/2026 02:26 - Relator(a) / Estudo para manifestação do relator","281","37"
"PL 21/2024","DISPÕE SOBRE O ATENDIMENTO DE SAÚDE E PSICOLÓGICO NO QUADRO DA REDE MUNICIPAL DE ENSINO DO MUNICÍPIO DE SÃO PAULO, E DÁ OUTRAS PROVIDÊNCIAS.","Ver. WALDIR JÚNIOR (PSD)Ver. EDIR SALES (PSD)","Ver. ANA CAROLINA OLIVEIRA (PODE)","12/09/2025 16:37:00 - FIN  (Recebido de SAUDE)","15/04/2026 03:51 - Secretaria (SGP12) / Aguardando Notas Taquigráficas (Audiência realizada)","253","38"
"PR 7/2024","ALTERA A RESOLUÇÃO Nº 02, DE 2014, QUE DISPÕE SOBRE A MEDALHA JÂNIO QUADROS E O RESPECTIVO DIPLOMA DA MEDALHA, E DÁ OUTRAS PROVIDÊNCIAS","Ver. EDIR SALES (PSD)","Ver. MARCELO MESSIAS (MDB)","10/06/2025 09:58:00 - FIN  (Recebido de EDUC)","19/03/2026 02:23 - Relator(a) / Estudo para manifestação do relator","347","65"
"PL 788/2023","AUTORIZA O PODER EXECUTIVO A CRIAR O PROGRAMA ""SEGUNDA CARREIRA 60+"" NOS TERMOS EM QUE ESPECIFICA, E DÁ OUTRAS PROVIDÊNCIAS","Ver. GILBERTO NASCIMENTO (PL)","Ver. ANDRÉ SANTOS (REPUBLICANOS)","12/09/2025 16:37:00 - FIN  (Recebido de SAUDE)","21/05/2026 02:43 - Relator(a) / Assinar Pedido de Informação ao Executivo","253","2"
"PL 763/2023","AUTORIZA O EXECUTIVO A INSTITUIR O PROGRAMA DE APOIO ÀS PESSOAS COM DOENÇA DE ALZHEIMER NO ÂMBITO DO MUNICÍPIO DE SÃO PAULO.","Ver. RUTE COSTA (PL)","Ver. MARCELO MESSIAS (MDB)","05/09/2025 12:11:00 - FIN  (Recebido de SAUDE)","08/04/2026 04:42 - Relator(a) / Estudo para manifestação do relator","260","45"
"PL 760/2023","INSTITUI O FORNECIMENTO DE MERENDA ESCOLAR ADAPTADA AOS ESTUDANTES HIPERGLICÊMICOS, HIPOGLICÊMICOS E CELÍACOS DA REDE MUNICIPAL DE SÃO PAULO E DÁ OUTRAS PROVIDÊNCIAS","Ver. RUTE COSTA (PL)Ver. THAMMY MIRANDA (PSD)","Ver. ANA CAROLINA OLIVEIRA (PODE)","15/09/2025 11:13:00 - FIN  (Recebido de SAUDE)","08/04/2026 04:42 - Consultoria (CTEO.1) / Para análise","250","45"
"PL 756/2023","INSTITUI A ALFABETIZAÇÃO EM BRAILLE NAS ESCOLAS DA REDE MUNICIPAL DE ENSINO E DÁ OUTRAS PROVIDÊNCIAS.","Ver. ISAC FÉLIX (PL)","Ver. ANDRÉ SANTOS (REPUBLICANOS)","05/09/2025 12:11:00 - FIN  (Recebido de SAUDE)","01/10/2025 02:06 - Secretaria (SGP12) / Aguardando Notas Taquigráficas (Audiência realizada)","260","234"
